industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of imitation of jewelry and related articles,15377,2015,A,14,928,922,342823.00,326331.00,106368.00,219963.00,326406.00,132437.00,159240.00,6332.00,-15411.00,0.00,0.00
Manufacture of guitars,15378,2015,A,3,165,165,67773.00,58322.00,27585.00,30737.00,71813.00,20405.00,40441.00,1031.00,9872.00,0.00,0.00
Manufacture of sporting gloves and mitts,15381,2015,A,3,915,915,672649.00,659761.00,205538.00,454224.00,669188.00,319769.00,250241.00,942.00,4243.00,0.00,0.00
Manufacture of sporting balls,15382,2015,A,7,1263,1263,2550708.00,2457759.00,390662.00,2067097.00,2577567.00,1890597.00,584540.00,42096.00,-102497.00,0.00,0.00
Manufacture of dolls and doll garments,15384,2015,A,19,2718,2717,6320762.00,6026582.00,546515.00,5480068.00,6226215.00,4853233.00,978016.00,18075.00,-395270.00,0.00,0.00
"Manufacture of medical, surgical, dental furniture and fixtures",15388,2015,A,7,4619,4615,7633053.00,7505269.00,1130537.00,6374732.00,7504252.00,4721543.00,1998770.00,25390.00,-178436.00,0.00,0.00
"Manufacture of prosthetic appliances, artificial teeth made to order",15390,2015,A,5,559,559,244331.00,244013.00,91573.00,152440.00,246180.00,115973.00,105437.00,1816.00,7212.00,0.00,0.00
Manufacture of medical and precision instruments,15391,2015,A,15,4576,4571,1842316.00,1638153.00,437535.00,1200618.00,1843246.00,894278.00,752577.00,369673.00,56507.00,0.00,0.00
Manufacture of pens and pencils of all kinds,15393,2015,A,3,187,187,796047.00,529496.00,79208.00,450289.00,826576.00,243451.00,393005.00,386.00,10912.00,0.00,0.00
"Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",15395,2015,A,26,2936,2921,1692827.00,1529040.00,686910.00,842129.00,1656324.00,633990.00,936043.00,4525.00,-7476.00,0.00,0.00
Manufacture of candles,15396,2015,A,3,138,138,297867.00,281703.00,15325.00,266379.00,305828.00,267414.00,33830.00,0.00,9219.00,0.00,0.00
"Baking of bread, cakes, pastries, pies and similar 'perishable' bakery products, including hopia and doughnut making",1540,2015,B,6287,51855,43122,13021527.00,11695521.00,1709802.00,9985719.00,12652115.00,8483687.00,3577764.00,37820.00,-280729.00,0.00,0.00
"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",1541,2015,B,29,314,293,242864.00,250971.00,19835.00,231136.00,225930.00,207128.00,17092.00,0.00,-40760.00,0.00,0.00
"Manufacture of snack products such as corn curls, wheat crunchies and similar products",1543,2015,B,48,509,457,2614783.00,2508880.00,282648.00,2226232.00,2619367.00,2182265.00,398409.00,0.00,-156479.00,0.00,0.00
Manufacture of muscovado sugar not carried on in the farm,1546,2015,B,14,215,203,14939.00,13802.00,2981.00,10821.00,13814.00,9584.00,4600.00,0.00,-158.00,0.00,0.00
Manufacture of chocolate and cocoa products including chocolate candies,1548,2015,B,6,46,27,16690.00,15842.00,3874.00,11969.00,18747.00,12196.00,5198.00,0.00,9124.00,0.00,0.00
Manufacture of candies (excluding chocolate candies) and chewing gum,1549,2015,B,69,759,759,506403.00,397064.00,48496.00,348568.00,492184.00,284676.00,191025.00,1550.00,-3061.00,0.00,0.00
Manufactur e of popcorn and poprice,1550,2015,B,7,98,98,29508.00,30305.00,6937.00,23368.00,30307.00,21388.00,8041.00,0.00,-17540.00,0.00,0.00
"Manufacture of chocolate and sugar confectionery products, n.e.c.",1551,2015,B,3,46,46,28106.00,26692.00,9104.00,17589.00,27973.00,15977.00,11622.00,0.00,-305.00,0.00,0.00
"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1552,2015,B,68,663,540,353497.00,288630.00,34113.00,254517.00,267976.00,159267.00,111431.00,8586.00,-18314.00,0.00,0.00
Manufacture of prepared meals and dishes,1553,2015,B,6,85,77,116299.00,113025.00,6947.00,106078.00,116211.00,100357.00,12245.00,0.00,-61055.00,0.00,0.00
Coffee roasting and processing,1555,2015,B,14,130,110,87343.00,81509.00,14238.00,67271.00,86069.00,59975.00,24061.00,600.00,-1473.00,0.00,0.00
"Manufacture of herb from drying and further extraction ( e.g. banaba, ampalaya, moringa (malunggay), sambong, lagundi etc.)",1556,2015,B,3,40,40,46774.00,46066.00,5684.00,40382.00,38645.00,22513.00,6994.00,0.00,1457.00,0.00,0.00
"Manufacture of ice, except dry ice",1557,2015,B,261,3838,3838,4350441.00,3813862.00,663514.00,3150347.00,4360022.00,1945300.00,2133940.00,3004177.00,-74168.00,0.00,0.00
Egg processing including fertilized egg (balut) and salted eggs,1559,2015,B,6,56,48,24898.00,23144.00,4893.00,18251.00,23772.00,14594.00,8770.00,760.00,-1102.00,0.00,0.00
Manufacture of flavoring extracts and food coloring,1560,2015,B,6,71,64,95314.00,88213.00,3595.00,84618.00,96545.00,80722.00,11969.00,0.00,-735.00,0.00,0.00
Manufacture of vinegar,1562,2015,B,7,58,44,20634.00,15741.00,6947.00,8795.00,22850.00,9588.00,12630.00,0.00,705.00,0.00,0.00
"Manufacture of food products, n.e.c.",1563,2015,B,131,1464,1306,1680928.00,1641628.00,120027.00,1521601.00,1655888.00,1406133.00,193361.00,9033.00,50125.00,0.00,0.00
Manufacture of prepared animal feeds,1564,2015,B,71,789,748,1131201.00,1083413.00,85565.00,997848.00,532951.00,375859.00,155977.00,0.00,-11626.00,0.00,0.00
"Distilling, rectifying and blending of spirits",1565,2015,B,3,33,33,13664.00,13036.00,2531.00,10505.00,13526.00,8778.00,4425.00,0.00,869.00,0.00,0.00
Fruit wine manufacturing,1566,2015,B,8,43,43,19386.00,24217.00,6427.00,17790.00,31620.00,17482.00,5790.00,0.00,8237.00,0.00,0.00
"Wine manufacturing, n.e.c.",1567,2015,B,10,121,116,687067.00,626174.00,28762.00,597412.00,665663.00,311882.00,163809.00,-962.00,-11387.00,0.00,0.00
"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",1569,2015,B,4,24,24,102449.00,95724.00,12643.00,83081.00,99760.00,57731.00,24556.00,4216.00,-1141.00,0.00,0.00
"Manufacture of drinks flavored with fruit juices, syrups or other materials",1570,2015,B,10,117,117,325892.00,329375.00,25046.00,304329.00,316082.00,251149.00,23478.00,3237.00,-12333.00,0.00,0.00
Manufacture of bottled water,1571,2015,B,2320,11411,9569,4756193.00,3600022.00,807966.00,2792056.00,4871477.00,1964256.00,2351393.00,10867.00,-15816.00,0.00,0.00
"Manufacture of other beverages, n.e.c.",1573,2015,B,3,38,36,5539.00,5571.00,1417.00,4154.00,5539.00,3574.00,1819.00,837.00,410.00,0.00,0.00
Spinning,1578,2015,B,13,112,112,51014.00,52106.00,9733.00,42373.00,48958.00,33575.00,11620.00,10776.00,-2720.00,0.00,0.00
Weavi ng of textiles,1580,2015,B,24,286,280,77581.00,72554.00,31549.00,41005.00,78750.00,27208.00,42450.00,0.00,4235.00,0.00,0.00
Finishing of textiles,1581,2015,B,34,274,252,78466.00,75588.00,5513.00,70075.00,78466.00,64102.00,9090.00,0.00,0.00,0.00,0.00
Manufacture of knitted and crocheted fabrics,1583,2015,B,17,176,176,49332.00,117365.00,22379.00,94986.00,44641.00,76592.00,-40678.00,0.00,-5352.00,0.00,0.00
Manufacture of textile industrial bags,1584,2015,B,9,98,98,46707.00,44042.00,12528.00,31514.00,38690.00,20269.00,17081.00,1361.00,1201.00,0.00,0.00
Manufacture of made-up textile goods for house furnishings,1585,2015,B,13,114,114,52193.00,46447.00,11796.00,34651.00,42840.00,23890.00,20785.00,22.00,-1009.00,0.00,0.00
Manufacture of canvas products,1586,2015,B,13,136,126,103042.00,133170.00,13354.00,119816.00,93548.00,102993.00,-11627.00,0.00,-31922.00,0.00,0.00
"Manufacture of carpets and rugs, except mats of textile materials",1588,2015,B,13,158,158,10118.00,6365.00,2650.00,3715.00,10418.00,2773.00,6536.00,0.00,-30.00,0.00,0.00
"Manufacture of products of cordage, rope and twine products",1592,2015,B,4,72,66,4116.00,3832.00,945.00,2887.00,4381.00,2911.00,1431.00,2734.00,952.00,0.00,0.00
Manufacture of embroidered fabrics,1593,2015,B,16,141,141,124374.00,126225.00,30697.00,95529.00,118946.00,69317.00,41576.00,0.00,-9902.00,0.00,0.00
"Manufacture of narrow fabrics, laces, tulles and other net fabrics",1594,2015,B,13,120,120,38970.00,37783.00,14547.00,23237.00,32553.00,17839.00,20956.00,3870.00,1902.00,0.00,0.00
"Manufacture of fiber batting, padding and upholstery filling including coir",1597,2015,B,9,142,134,94301.00,132504.00,44124.00,88380.00,93386.00,47635.00,26309.00,26.00,7243.00,0.00,0.00
Men's and boys' garment manufacturing,1599,2015,B,174,1802,1660,210080.00,178850.00,55473.00,123377.00,217216.00,86853.00,108725.00,8925.00,10392.00,0.00,0.00
Women's and girls' and babies' garment manufacturing,15100,2015,B,183,1810,1714,245847.00,186248.00,70698.00,115551.00,212061.00,77135.00,142775.00,0.00,-27573.00,0.00,0.00
Ready-made embroidered garments manufacturing,15101,2015,B,46,632,616,134544.00,127940.00,44421.00,83518.00,141829.00,71126.00,61948.00,3710.00,8396.00,0.00,0.00
"Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",15102,2015,B,11,114,100,22659.00,20480.00,3618.00,16862.00,24049.00,15796.00,6396.00,0.00,263.00,0.00,0.00
"Manufacture of wearing apparel, n.e.c",15103,2015,B,118,1190,1026,535035.00,545982.00,88722.00,457260.00,525440.00,409899.00,89219.00,11480.00,-437.00,0.00,0.00
Custom tailoring,15104,2015,B,360,3485,2963,464097.00,353432.00,192243.00,161189.00,439722.00,121905.00,304103.00,0.00,-17.00,0.00,0.00
Custom dressmaking,15105,2015,B,211,2495,2307,301081.00,283369.00,114637.00,168732.00,296842.00,90290.00,150787.00,0.00,-6609.00,0.00,0.00
Manufacture of knitted and crocheted apparel,15106,2015,B,7,102,101,52328.00,89983.00,14625.00,75358.00,62119.00,82230.00,-21032.00,0.00,-1709.00,0.00,0.00
"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted o r crocheted directly into shape",15107,2015,B,3,35,35,14104.00,14082.00,4488.00,9594.00,15420.00,8521.00,6110.00,0.00,1593.00,0.00,0.00
Tanning and dressing of leather,15109,2015,B,7,89,86,62609.00,61391.00,7870.00,53521.00,61524.00,49983.00,10109.00,666.00,-3430.00,0.00,0.00
"Manufacture of luggage, handbags and wallets of leather and imitation leather",15110,2015,B,29,448,448,306760.00,302316.00,48502.00,253814.00,309336.00,245050.00,55962.00,0.00,-3264.00,0.00,0.00
"Manufature of products of leather and imitation leather, n.e.c.",15111,2015,B,6,40,40,59414.00,56450.00,7487.00,48962.00,59244.00,45676.00,11120.00,0.00,-2007.00,0.00,0.00
Manufacture of leather shoes,15112,2015,B,32,210,190,47750.00,26847.00,8230.00,18617.00,47489.00,15566.00,30082.00,0.00,-536.00,0.00,0.00
Manufacture of rubber shoes,15113,2015,B,5,70,68,20275.00,13103.00,6972.00,6131.00,20537.00,5080.00,14386.00,0.00,-22.00,0.00,0.00
Manufacture of shoes made of textile materials with applied soles,15115,2015,B,3,29,29,96330.00,96104.00,15495.00,80609.00,95637.00,70635.00,19098.00,1816.00,-12684.00,0.00,0.00
Manufacture of rubber slippers,15117,2015,B,8,59,51,17411.00,8737.00,1933.00,6804.00,17166.00,6498.00,10648.00,0.00,-305.00,0.00,0.00
"Manufacture of slippers and sandals, other than rubber",15118,2015,B,33,405,197,41695.00,41867.00,7359.00,34507.00,46442.00,36328.00,8644.00,0.00,2828.00,0.00,0.00
Manufacture of leather parts of footwear,15119,2015,B,8,87,67,25354.00,25611.00,4638.00,20973.00,28940.00,20979.00,5163.00,0.00,1566.00,0.00,0.00
Manufacture of rough lumber,15121,2015,B,68,1217,1155,798313.00,729258.00,275279.00,453979.00,697980.00,335245.00,352969.00,0.00,16259.00,0.00,0.00
Wood preserving and drying,15123,2015,B,6,36,36,51903.00,48171.00,3267.00,44904.00,38343.00,16954.00,11532.00,0.00,-303.00,0.00,0.00
Manufacture of veneer sheets and plywood,15125,2015,B,9,118,115,69340.00,63795.00,8500.00,55295.00,55372.00,27721.00,19055.00,0.00,-27441.00,0.00,0.00
"Manufacture of wooden window and door screens, shades and venetian blinds",15127,2015,B,7,107,107,70257.00,55570.00,15439.00,40130.00,68251.00,31583.00,38169.00,4710.00,617.00,0.00,0.00
Manufacture of other builders' carpentry and joinery; millworking,15128,2015,B,60,784,709,816336.00,730471.00,49808.00,680664.00,807000.00,630202.00,153993.00,36.00,-2543.00,0.00,0.00
Manufacture of wooden containers,15129,2015,B,17,168,164,87940.00,78470.00,12018.00,66452.00,91845.00,56360.00,24777.00,-4452.00,9155.00,0.00,0.00
Manufacture of wood carvings,15130,2015,B,84,992,908,238827.00,220076.00,52846.00,167230.00,255237.00,166880.00,79211.00,0.00,32822.00,0.00,0.00
Manufacture of charcoal outside the forest,15131,2015,B,8,114,114,707143.00,758411.00,14685.00,743726.00,819282.00,672508.00,25877.00,400.00,185137.00,0.00,0.00
Manufacture of rattan and cane containers,15133,2015,B,7,76,75,2556.00,2017.00,711.00,1306.00,2541.00,990.00,1496.00,0.00,6.00,0.00,0.00
"Manufacture of sawali, nipa and split canes",15134,2015,B,5,45,38,6643.00,5248.00,1894.00,3354.00,6781.00,2757.00,3607.00,0.00,312.00,0.00,0.00
"Manufacture of articles of cork, straw and plaiting materials",15136,2015,B,42,374,210,21760.00,19382.00,12694.00,6688.00,22432.00,6013.00,15969.00,16.00,1019.00,0.00,0.00
"Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e .c.",15138,2015,B,21,255,214,115285.00,102227.00,36383.00,65844.00,55750.00,25782.00,58201.00,3747.00,-13686.00,0.00,0.00
"Integrated pulp,paper and paperboard milling",15139,2015,B,3,39,37,48843.00,44296.00,5351.00,38945.00,21810.00,10176.00,10387.00,458.00,-471.00,0.00,0.00
Paper and paperboard milling,15141,2015,B,16,224,224,605935.00,614560.00,79548.00,535012.00,621840.00,482532.00,120944.00,0.00,46536.00,0.00,0.00
Manufacture of hand-made paper,15142,2015,B,4,66,64,61664.00,54743.00,5958.00,48785.00,61734.00,42371.00,14650.00,26.00,-116.00,0.00,0.00
"Manufacture of pulp, paper and paperboard, n.e.c.",15143,2015,B,6,71,66,74999.00,72230.00,5168.00,67062.00,81052.00,67181.00,13170.00,0.00,13559.00,0.00,0.00
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,15144,2015,B,58,677,677,1136673.00,1077528.00,126414.00,951114.00,1128498.00,844524.00,243217.00,0.00,-2538.00,0.00,0.00
Manufacture of household and personal hygiene paper and cellulose wadding products,15145,2015,B,8,106,104,190460.00,167535.00,20849.00,146687.00,184626.00,102710.00,53102.00,0.00,-6315.00,0.00,0.00
Manufacture of other articles of paper,15147,2015,B,35,522,522,1461693.00,1285225.00,68870.00,1216355.00,1452589.00,1098145.00,266663.00,0.00,-33508.00,0.00,0.00
Manufacture of other articles of paperboard,15148,2015,B,7,53,52,41042.00,28231.00,5078.00,23153.00,39210.00,16057.00,20794.00,0.00,59.00,0.00,0.00
Printing,15149,2015,B,1122,10066,9304,6846377.00,5989585.00,1108030.00,4881556.00,6766552.00,4205178.00,2307703.00,0.00,352771.00,0.00,0.00
"Electrotyping, stereotyping and photoengraving",15150,2015,B,5,38,37,28575.00,27387.00,3816.00,23571.00,28977.00,19836.00,7100.00,0.00,852.00,0.00,0.00
Bookbinding and related work,15151,2015,B,11,85,70,43377.00,38995.00,8238.00,30757.00,43377.00,26177.00,14153.00,0.00,4329.00,0.00,0.00
"Service activities related to printing, n.e.c.",15152,2015,B,81,914,876,1099480.00,1042409.00,127666.00,914743.00,1099428.00,878170.00,199660.00,250.00,-2742.00,0.00,0.00
Reproduction of video and computer tapes from mastercopies,15153,2015,B,3,57,57,73597.00,67819.00,15327.00,52492.00,73597.00,44024.00,22272.00,167.00,0.00,0.00,0.00
Manufacture of refined petroleum products,15156,2015,B,4,44,44,1005145.00,944305.00,26849.00,917456.00,960256.00,751294.00,124696.00,2654.00,-93434.00,0.00,0.00
Manufacture of industrial (compressed and liquefied) gases,15159,2015,B,36,432,432,1442930.00,1406569.00,61130.00,1345439.00,1416759.00,727897.00,619638.00,0.00,-14594.00,0.00,0.00
Manufacture of inorganic salts and compounds,15160,2015,B,5,55,55,171154.00,171369.00,9874.00,161495.00,176336.00,151956.00,12012.00,0.00,12622.00,0.00,0.00
Manufacture of organic acids and organic compounds,15164,2015,B,6,47,47,1000950.00,944710.00,23308.00,921401.00,1018194.00,871685.00,116379.00,177706.00,-1196.00,0.00,0.00
"Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",15165,2015,B,18,297,284,917513.00,885326.00,37206.00,848120.00,915695.00,796472.00,104225.00,5639.00,1419.00,0.00,0.00
Manufacture of fertilizers and nitrogen compounds,15166,2015,B,22,164,148,177331.00,167965.00,38007.00,129958.00,177478.00,100479.00,51649.00,5078.00,16155.00,0.00,0.00
Manufacture of plastic synthetic resins,15167,2015,B,6,95,95,1615108.00,1523636.00,58023.00,1465612.00,1591761.00,1384502.00,174572.00,16727.00,-38256.00,0.00,0.00
Manufacture of plastic materials except man-made fiber and glass fiber,15168,2015,B,13,152,152,139643.00,135863.00,25717.00,110146.00,139643.00,100520.00,31698.00,0.00,4531.00,0.00,0.00
Manufacture of pesticides and other agro-chemical products,15169,2015,B,7,71,71,495248.00,478878.00,15094.00,463784.00,305295.00,268173.00,38763.00,73.00,-2779.00,0.00,0.00
Manufacture of paints,15170,2015,B,26,367,358,670605.00,614867.00,53510.00,561356.00,670946.00,528815.00,125785.00,8894.00,-15470.00,0.00,0.00
Manufacture of pigments and other coloring matter of a kind used in the manufacture of paints or by artists or other painters,15173,2015,B,3,14,11,19063.00,22018.00,3077.00,18940.00,18804.00,14767.00,1575.00,421.00,125.00,0.00,0.00
Manufacture of printing ink,15174,2015,B,7,71,71,134282.00,106204.00,12764.00,93440.00,134280.00,82530.00,42963.00,0.00,-1731.00,0.00,0.00
"Manufacture of paint products, n.e.c.",15175,2015,B,3,39,39,67939.00,62989.00,11619.00,51370.00,68092.00,47978.00,18197.00,148.00,2165.00,0.00,0.00
Manufacture of soap and detergents,15176,2015,B,48,451,451,380290.00,340792.00,44079.00,296713.00,367474.00,216364.00,125332.00,13725.00,-20953.00,0.00,0.00
"Manufacture of cleaning preparations, except soap and detergents",15177,2015,B,6,40,40,547393.00,439013.00,63465.00,375548.00,547430.00,197274.00,245933.00,21677.00,1008.00,0.00,0.00
Manufacture of waxes and polishing preparations,15178,2015,B,3,24,24,17141.00,17646.00,3457.00,14189.00,16912.00,11234.00,4252.00,0.00,-3217.00,0.00,0.00
"Manufacture of perfumes, cosmetics and other toilet preparations",15179,2015,B,35,318,318,786748.00,737583.00,56743.00,680840.00,787727.00,611789.00,120940.00,4333.00,15948.00,0.00,0.00
Manufacture of glues and adhesives,15183,2015,B,9,114,114,367127.00,337850.00,71778.00,266072.00,348671.00,221752.00,117290.00,3391.00,-1507.00,0.00,0.00
"Manufacture of miscellaneous chemical products, n.e.c.",15185,2015,B,29,218,218,5048439.00,4776577.00,96324.00,4680254.00,5044706.00,4509220.00,438869.00,9324.00,-118834.00,0.00,0.00
"Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",15188,2015,B,37,400,400,255745.00,250683.00,55588.00,195095.00,258669.00,164548.00,73376.00,108.00,21203.00,0.00,0.00
Manufacture of rubber tires (including parts) and tubes,15190,2015,B,5,50,48,215164.00,194793.00,6483.00,188311.00,210647.00,161802.00,28721.00,0.00,4308.00,0.00,0.00
Retreading and rebuilding of tires,15191,2015,B,3,47,47,126694.00,124900.00,14023.00,110877.00,126694.00,98678.00,22075.00,0.00,-822.00,0.00,0.00
Manufacture of rubber garments,15192,2015,B,3,25,22,181457.00,171108.00,3736.00,167372.00,181242.00,147024.00,19441.00,2756.00,514.00,14518.00,0.00
"Manufacture of industrial and other molded rubber products, excluding tires and tubes",15193,2015,B,39,527,527,413800.00,434124.00,65029.00,369094.00,385327.00,308533.00,54241.00,0.00,-6354.00,0.00,0.00
"Manufacture of other rubber products, n.e.c.",15194,2015,B,21,207,204,401357.00,388324.00,28599.00,359725.00,406838.00,341159.00,55864.00,23774.00,108792.00,0.00,0.00
"Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc)",15195,2015,B,131,1322,1322,2057871.00,1981343.00,173215.00,1808128.00,1851463.00,1660202.00,303853.00,12358.00,-562793.00,0.00,0.00
Manu facture of plastic household wares,15196,2015,B,38,376,376,481575.00,442332.00,24970.00,417362.00,504596.00,411411.00,77188.00,0.00,46679.00,0.00,0.00
Manufacture of plastic pipes and tubes,15198,2015,B,34,510,510,426216.00,418946.00,50196.00,368750.00,431397.00,336177.00,73804.00,192578.00,16364.00,0.00,0.00
"Manufacture of other plastic, industrial /office/school supplies",15199,2015,B,33,410,406,494479.00,501875.00,81769.00,420106.00,506459.00,315798.00,124623.00,372.00,7676.00,0.00,0.00
"Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",15200,2015,B,4,62,62,59280.00,64718.00,6265.00,58453.00,68329.00,49157.00,13673.00,21889.00,1034.00,0.00,0.00
"Manufacture of plastic window and door screen, shades and venetian blinds",15202,2015,B,22,220,220,133153.00,133950.00,15340.00,118610.00,133153.00,101270.00,18145.00,0.00,1768.00,0.00,0.00
"Manufacture of plastics products, n.e.c.",15203,2015,B,76,1178,1168,1778723.00,1719167.00,194122.00,1525045.00,1802049.00,1433356.00,297688.00,11.00,-8987.00,236834.00,0.00
Manufacture of glass fibers (including glass wool) and yarn of glass fibers,15206,2015,B,17,227,227,91315.00,89192.00,16010.00,73182.00,92899.00,68998.00,22068.00,9458.00,-2663.00,0.00,0.00
"Manufacture of glass and glass products, n.e.c.",15207,2015,B,28,265,246,309237.00,241266.00,32653.00,208613.00,309237.00,187001.00,108112.00,0.00,5204.00,0.00,0.00
Manufacture of refractory products,15208,2015,B,13,98,92,123668.00,119245.00,14638.00,104607.00,123198.00,87932.00,21576.00,0.00,-2387.00,0.00,0.00
Manufacture of clay building materials,15209,2015,B,7,60,60,25332.00,25295.00,4326.00,20970.00,24785.00,16810.00,6657.00,0.00,-3175.00,0.00,0.00
Manufacture of coarse clay products,15212,2015,B,25,201,156,19743.00,13037.00,5431.00,7606.00,19802.00,5454.00,14271.00,0.00,43.00,0.00,0.00
"Manufacture of other porcelain and ceramic products, n.e.c.",15214,2015,B,5,66,65,68415.00,70569.00,10855.00,59714.00,55643.00,44393.00,11866.00,0.00,-11185.00,0.00,0.00
Manufacture of structural concrete products,15217,2015,B,358,3525,3237,1799997.00,1723638.00,202271.00,1521367.00,1804084.00,1252483.00,386046.00,0.00,17162.00,0.00,0.00
"Manufacture of articles of concrete, cement and plaster, n.e.c.",15218,2015,B,13,193,190,1474287.00,1346030.00,28940.00,1317090.00,1461647.00,1135142.00,204786.00,0.00,1958.00,0.00,0.00
"Cutting, shaping and finishing of stone",15219,2015,B,24,150,132,29416.00,34935.00,6319.00,28616.00,27736.00,20626.00,3024.00,0.00,-1690.00,0.00,0.00
Manufacture of asphalt products,15220,2015,B,5,70,70,401021.00,295580.00,8670.00,286909.00,386132.00,221097.00,160467.00,-1312.00,-14670.00,0.00,0.00
Manufacture of marble products,15222,2015,B,10,26,24,11666.00,10331.00,2631.00,7700.00,12190.00,7033.00,4914.00,0.00,546.00,0.00,0.00
Manufacture of abrasive products,15223,2015,B,3,32,32,13018.00,12486.00,1887.00,10599.00,12288.00,8304.00,3633.00,0.00,1698.00,0.00,0.00
Operation of blast furnaces and steel making furnaces,15225,2015,B,58,640,549,874444.00,796878.00,96719.00,700159.00,873364.00,608741.00,228015.00,1044.00,-2148.00,0.00,0.00
Operation of rolling mills,15226,2015,B,16,176,174,222721.00,220502.00,23605.00,196897.00,191768.00,163233.00,16822.00,0.00,1157.00,0.00,0.00
"Pipes and tubes manufacturing, iron or steel",15227,2015,B,7,100,100,194219.00,185948.00,14040.00,171908.00,193687.00,136226.00,39860.00,0.00,-7822.00,0.00,0.00
Manufacture of pipe fittings of iron or steel,15228,2015,B,8,76,76,47224.00,42684.00,7848.00,34836.00,47178.00,32865.00,13683.00,0.00,5485.00,0.00,0.00
"Manufacture of galvanized steel sheets, tinplates and other coated metal products made in steel works or rolling mills",15229,2015,B,27,314,298,3005599.00,2990036.00,136554.00,2853482.00,2026694.00,1392312.00,469496.00,-2651.00,-1004764.00,0.00,0.00
"Operation of steel works and rolling mills, n.e.c.",15230,2015,B,15,141,141,155846.00,156473.00,29571.00,126902.00,139320.00,90529.00,20241.00,0.00,3753.00,0.00,0.00
"Non-ferrous smelting and refining , except precious metals",15232,2015,B,3,31,31,15970.00,14164.00,5268.00,8897.00,15969.00,7167.00,7623.00,0.00,-4.00,0.00,0.00
"Non-ferrous rolling, drawing and extrusion mills",15233,2015,B,6,91,91,229003.00,205122.00,17256.00,187865.00,219191.00,168234.00,44554.00,7400.00,-13514.00,0.00,0.00
Casting/foundry of iron,15236,2015,B,6,65,65,58063.00,50144.00,9945.00,40199.00,57443.00,32382.00,19192.00,1725.00,-3809.00,0.00,0.00
Casting/foundry of steel,15237,2015,B,5,69,68,49125.00,46380.00,7504.00,38875.00,48939.00,35121.00,11501.00,0.00,-1418.00,0.00,0.00
Aluminum and aluminum base alloy casting,15238,2015,B,8,116,116,21628.00,23342.00,12312.00,11030.00,20401.00,7653.00,11625.00,36.00,1416.00,0.00,0.00
"Casting of non-ferrous metal, n.e.c.",15241,2015,B,6,71,71,160024.00,152874.00,6586.00,146289.00,158662.00,138070.00,16095.00,0.00,-3240.00,0.00,0.00
"Manufacture of structural steel products and metal components of bridges, smoke stacks and buildings",15242,2015,B,40,415,415,207332.00,239668.00,82754.00,156914.00,215366.00,116674.00,76495.00,0.00,16280.00,418.00,0.00
"Manufacture of other architectural and related metal work (e.g., doors, windows, shutters, gates, etc.)",15243,2015,B,174,1934,1775,649383.00,619831.00,116178.00,503653.00,633150.00,426581.00,185144.00,374.00,-6461.00,0.00,0.00
"Manufacture of structural metal products, n.e.c.",15244,2015,B,38,337,337,176763.00,122336.00,42239.00,80097.00,176381.00,56017.00,103827.00,7492.00,816.00,0.00,0.00
"Manufacture of tanks, reservoirs and containers of metal",15245,2015,B,22,235,235,660816.00,617494.00,23106.00,594388.00,656033.00,553448.00,79014.00,99522.00,-5594.00,0.00,0.00
"Forging, pressing, stamping and roll-forming of metal products",15249,2015,B,55,642,622,1092214.00,980917.00,85405.00,895512.00,1080457.00,855598.00,209743.00,0.00,-11203.00,0.00,0.00
Treatment and coating of metals; machining,15251,2015,B,33,262,251,4878538.00,4745479.00,105698.00,4639780.00,4871287.00,4414832.00,269263.00,0.00,3918707.00,0.00,0.00
Manufacture of hand tools,15253,2015,B,21,287,287,213968.00,198602.00,55224.00,143378.00,201211.00,108034.00,80797.00,385.00,-18460.00,0.00,0.00
Manufacture of general hardware,15254,2015,B,7,105,105,96570.00,73399.00,22978.00,50421.00,101140.00,42406.00,48321.00,0.00,8743.00,0.00,0.00
Manufacture of blacksmithing tools and welding shop operation,15255,2015,B,149,852,825,1591482.00,1516342.00,85440.00,1430902.00,1553860.00,1338121.00,188719.00,294.00,-32477.00,0.00,0.00
Manufacture of metal containers used for the packing or conveyance of goods,15257,2015,B,27,279,238,597727.00,588505.00,49248.00,539257.00,597078.00,502355.00,81064.00,7446.00,13585.00,0.00,0.00
"Manufacture of wire nails, not in steel rolling",15258,2015,B,3,28,28,14743.00,14105.00,3607.00,10498.00,14685.00,9412.00,4767.00,0.00,1338.00,0.00,0.00
